sysTime carID xPos yPos speed yaw yawVel xPosRaw yPosRaw yawRaw gas turn
0.966 0 -0.738 -0.643 -0.737 0 -0.738 0.198 1.31 1.3 0 0 
1.032 0 -0.738 -0.643 -0.737 0 -0.738 0.198 1.31 1.3 0 0 
1.106 0 -0.738 -0.643 -0.737 0 -0.738 0.198 1.31 1.3 0.114 0.321 
1.208 0 0.195 1.31 -0.737 1.27 -0.738 0.198 1.31 1.3 0.4 0.311 
1.302 0 0.195 1.31 -0.737 1.26 -0.738 0.198 1.31 1.3 0.401 0.359 
1.394 0 0.195 1.31 -0.737 1.28 -0.738 0.198 1.31 1.3 0.401 0.342 
1.491 0 0.195 1.3 -0.737 1.26 -0.738 0.198 1.31 1.3 0.402 0.386 
1.583 0 0.194 1.31 -0.737 1.28 -0.738 0.198 1.31 1.3 0.402 0.339 
1.678 0 0.194 1.31 -0.737 1.28 -0.738 0.198 1.31 1.3 0.403 0.339 
1.77 0 0.194 1.31 -0.737 1.27 -0.738 0.198 1.31 1.3 0.403 0.328 
1.862 0 0.195 1.31 -0.737 1.3 -0.738 0.198 1.31 1.3 0.404 0.354 
1.954 0 0.195 1.3 -0.737 1.31 -0.738 0.198 1.31 1.3 0.404 0.361 
2.044 0 0.195 1.31 -0.737 1.3 -0.738 0.198 1.31 1.3 0.405 0.37 
2.14 0 0.194 1.31 -0.737 1.27 -0.738 0.198 1.31 1.3 0.405 0.338 
2.232 0 0.194 1.31 -0.737 1.3 -0.738 0.198 1.31 1.3 0.406 0.36 
2.325 0 0.195 1.3 -0.737 1.29 -0.738 0.198 1.31 1.3 0.406 0.34 
2.419 0 0.194 1.3 -0.737 1.28 -0.738 0.198 1.31 1.3 0.407 0.369 
2.511 0 0.195 1.3 -0.737 1.28 -0.738 0.198 1.31 1.3 0.407 0.368 
2.603 0 0.194 1.3 -0.737 1.31 -0.738 0.198 1.31 1.3 0.408 0.365 
2.695 0 0.194 1.3 -0.737 1.28 -0.738 0.198 1.31 1.3 0.408 0.343 
2.786 0 0.194 1.3 -0.737 1.31 -0.738 0.198 1.31 1.3 0.408 0.359 
2.878 0 0.194 1.3 -0.737 1.28 -0.738 0.198 1.31 1.3 0.409 0.346 
2.969 0 0.194 1.3 -0.737 1.29 -0.738 0.198 1.31 1.3 0.409 0.331 
3.062 0 0.195 1.3 -0.737 1.26 -0.738 0.198 1.31 1.3 0.41 0.326 
3.155 0 0.193 1.31 -0.737 1.26 -0.738 0.198 1.31 1.3 0.41 0.325 
3.247 0 0.194 1.3 -0.737 1.29 -0.738 0.198 1.31 1.3 0.411 0.304 
3.344 0 0.194 1.3 -0.737 1.29 -0.738 0.198 1.31 1.3 0.411 0.344 
3.438 0 0.195 1.3 -0.737 1.28 -0.738 0.198 1.31 1.3 0.412 0.376 
3.529 0 0.194 1.3 -0.737 1.27 -0.738 0.198 1.31 1.3 0.412 0.344 
3.625 0 0.194 1.3 -0.737 1.24 -0.738 0.198 1.31 1.3 0.413 0.344 
3.716 0 0.194 1.3 -0.737 1.25 -0.738 0.198 1.31 1.3 0.413 0.363 
3.808 0 0.196 1.31 -0.737 1.28 -0.738 0.198 1.31 1.3 0.414 0.315 
3.9 0 0.194 1.3 -0.737 1.26 -0.738 0.198 1.31 1.3 0.414 0.348 
3.991 0 0.195 1.3 -0.737 1.3 -0.738 0.198 1.31 1.3 0.414 0.357 
4.086 0 0.195 1.3 -0.737 1.27 -0.738 0.198 1.31 1.3 0.415 0.306 
4.178 0 0.195 1.3 -0.737 1.29 -0.738 0.198 1.31 1.3 0.415 0.344 
4.272 0 0.195 1.3 -0.737 1.29 -0.738 0.198 1.31 1.3 0.416 0.322 
4.362 0 0.195 1.3 -0.737 1.26 -0.738 0.198 1.31 1.3 0.416 0.322 
4.454 0 0.193 1.31 -0.737 1.25 -0.738 0.198 1.31 1.3 0.417 0.322 
4.545 0 0.195 1.31 -0.737 1.31 -0.738 0.198 1.31 1.3 0.417 0.336 
4.637 0 0.194 1.3 -0.737 1.29 -0.738 0.198 1.31 1.3 0.418 0.3 
4.729 0 0.194 1.3 -0.737 1.28 -0.738 0.198 1.31 1.3 0.418 0.334 
4.821 0 0.195 1.3 -0.737 1.3 -0.738 0.198 1.31 1.3 0.419 0.31 
4.912 0 0.194 1.3 -0.737 1.29 -0.738 0.198 1.31 1.3 0.419 0.311 
5.006 0 0.195 1.3 -0.737 1.27 -0.738 0.198 1.31 1.3 0.42 0.344 
5.098 0 0.195 1.3 -0.737 1.27 -0.738 0.198 1.31 1.3 0.42 0.356 
5.191 0 0.195 1.3 -0.737 1.26 -0.738 0.198 1.31 1.3 0.42 0.345 
5.286 0 0.195 1.3 -0.737 1.32 -0.738 0.198 1.31 1.3 0.421 0.331 
5.377 0 0.194 1.3 -0.737 1.3 -0.738 0.198 1.31 1.3 0.421 0.352 
5.469 0 0.194 1.3 -0.737 1.28 -0.738 0.198 1.31 1.3 0.422 0.365 
5.563 0 0.194 1.3 -0.737 1.31 -0.738 0.198 1.31 1.3 0.422 0.355 
5.654 0 0.195 1.3 -0.737 1.29 -0.738 0.198 1.31 1.3 0.423 0.356 
5.747 0 0.195 1.31 -0.737 1.29 -0.738 0.198 1.31 1.3 0.423 0.351 
5.839 0 0.196 1.3 -0.737 1.27 -0.738 0.198 1.31 1.3 0.424 0.354 
5.931 0 0.194 1.3 -0.737 1.28 -0.738 0.198 1.31 1.3 0.424 0.328 
6.025 0 0.195 1.3 -0.737 1.29 -0.738 0.198 1.31 1.3 0.425 0.344 
6.117 0 0.194 1.3 -0.737 1.27 -0.738 0.198 1.31 1.3 0.425 0.377 
6.209 0 0.194 1.3 -0.737 1.25 -0.738 0.198 1.31 1.3 0.426 0.361 
6.301 0 0.195 1.3 -0.737 1.27 -0.738 0.198 1.31 1.3 0.426 0.329 
6.39 0 0.194 1.3 -0.737 1.28 -0.738 0.198 1.31 1.3 0.426 0.34 
6.482 0 0.196 1.3 -0.737 1.29 -0.738 0.198 1.31 1.3 0.427 0.378 
6.573 0 0.195 1.3 -0.737 1.32 -0.738 0.198 1.31 1.3 0.427 0.35 
6.666 0 0.195 1.3 -0.737 1.29 -0.738 0.198 1.31 1.3 0.428 0.308 
6.761 0 0.194 1.3 -0.737 1.28 -0.738 0.198 1.31 1.3 0.428 0.385 
6.852 0 0.196 1.3 -0.737 1.27 -0.738 0.198 1.31 1.3 0.429 0.343 
6.945 0 0.195 1.3 -0.737 1.31 -0.738 0.198 1.31 1.3 0.429 0.353 
7.038 0 0.194 1.3 -0.737 1.27 -0.738 0.198 1.31 1.3 0.43 0.345 
7.13 0 0.195 1.3 -0.737 1.28 -0.738 0.198 1.31 1.3 0.43 0.319 
7.223 0 0.195 1.3 -0.737 1.28 -0.738 0.198 1.31 1.3 0.431 0.347 
7.315 0 0.194 1.3 -0.737 1.28 -0.738 0.198 1.31 1.3 0.431 0.362 
7.407 0 0.194 1.3 -0.737 1.27 -0.738 0.198 1.31 1.3 0.432 0.332 
7.499 0 0.195 1.3 -0.737 1.29 -0.738 0.198 1.31 1.3 0.432 0.323 
7.59 0 0.194 1.3 -0.737 1.28 -0.738 0.198 1.31 1.3 0.432 0.365 
7.683 0 0.195 1.3 -0.737 1.28 -0.738 0.198 1.31 1.3 0.433 0.364 
7.776 0 0.194 1.3 -0.737 1.28 -0.738 0.198 1.31 1.3 0.433 0.323 
7.867 0 0.194 1.3 -0.737 1.29 -0.738 0.198 1.31 1.3 0.434 0.356 
7.963 0 0.195 1.3 -0.737 1.33 -0.738 0.198 1.31 1.3 0.434 0.365 
8.053 0 0.194 1.3 -0.737 1.27 -0.738 0.198 1.31 1.3 0.435 0.324 
8.145 0 0.194 1.3 -0.737 1.3 -0.738 0.198 1.31 1.3 0.435 0.343 
8.239 0 0.196 1.3 -0.737 1.24 -0.738 0.198 1.31 1.3 0.436 0.345 
8.331 0 0.194 1.3 -0.737 1.26 -0.738 0.198 1.31 1.3 0.436 0.367 
8.425 0 0.193 1.3 -0.737 1.27 -0.738 0.198 1.31 1.3 0.437 0.34 
8.516 0 0.195 1.3 -0.737 1.29 -0.738 0.198 1.31 1.3 0.437 0.374 
8.61 0 0.195 1.3 -0.737 1.31 -0.738 0.198 1.31 1.3 0.438 0.336 
8.704 0 0.195 1.31 -0.737 1.3 -0.738 0.198 1.31 1.3 0.438 0.326 
8.797 0 0.195 1.31 -0.737 1.26 -0.738 0.198 1.31 1.3 0.438 0.365 
