sysTime carID xPos yPos speed yaw yawVel xPosRaw yPosRaw yawRaw gas turn
0.013 0 0 0 0 0 1e-006 0.303 1.21 0.749 0 0 
0.648 0 0 0 0 0 1e-006 0.31 1.22 0.778 0 0 
0.717 0 0.31 1.22 0.149 0.778 0.368 0.31 1.22 0.778 0.114 1 
0.783 0 0.312 1.22 0.128 0.749 0.221 0.312 1.22 0.749 0.4 1 
0.849 0 0.316 1.23 0.126 0.825 0.341 0.316 1.23 0.825 0.401 0.989 
0.914 0 0.323 1.24 0.167 0.9 0.791 0.323 1.24 0.9 0.401 0.937 
0.98 0 0.331 1.26 0.225 1.01 1.05 0.331 1.26 1.01 0.401 0.854 
1.047 0 0.336 1.28 0.268 1.13 1.39 0.336 1.28 1.13 0.402 0.711 
1.116 0 0.343 1.3 0.32 1.31 1.85 0.343 1.3 1.31 0.402 0.605 
1.184 0 0.346 1.33 0.382 1.43 1.9 0.346 1.33 1.43 0.402 0.452 
1.25 0 0.347 1.37 0.448 1.55 1.75 0.347 1.37 1.55 0.403 0.303 
1.313 0 0.344 1.41 0.53 1.6 1.37 0.344 1.41 1.6 0.403 0.0211 
1.381 0 0.342 1.46 0.577 1.62 0.891 0.342 1.46 1.62 0.403 -0.0833 
1.447 0 0.341 1.5 0.641 1.53 0.15 0.341 1.5 1.53 0.404 -0.244 
1.514 0 0.348 1.55 0.687 1.48 -0.232 0.348 1.55 1.48 0.404 -0.379 
1.584 0 0.359 1.61 0.714 1.28 -1.57 0.359 1.61 1.28 0.404 -0.418 
1.65 0 0.382 1.66 0.776 1.1 -2.08 0.382 1.66 1.1 0.405 -0.421 
1.718 0 0.417 1.71 0.794 0.94 -2.31 0.417 1.71 0.94 0.405 -0.369 
1.784 0 0.463 1.75 0.857 0.729 -2.45 0.463 1.75 0.729 0.404 -0.331 
1.849 0 0.517 1.79 0.924 0.552 -2.59 0.517 1.79 0.552 0.397 -0.285 
1.913 0 0.578 1.82 0.964 0.407 -2.36 0.578 1.82 0.407 0.4 -0.224 
1.981 0 0.645 1.84 0.997 0.279 -2.17 0.645 1.84 0.279 0.363 -0.24 
2.057 0 0.724 1.86 0.975 0.215 -1.22 0.724 1.86 0.215 0.387 -0.213 
2.122 0 0.798 1.87 1.03 0.0602 -1.57 0.798 1.87 0.0601 0.325 -0.233 
2.189 0 0.871 1.86 1.03 -0.0462 -1.51 0.871 1.86 -0.0462 0.286 -0.316 
2.254 0 0.943 1.85 1.07 -0.201 -1.88 0.943 1.85 -0.201 0.24 -0.316 
2.321 0 1.01 1.83 1.06 -0.345 -2.12 1.01 1.83 -0.345 0.196 -0.472 
2.389 0 1.07 1.8 1 -0.55 -2.39 1.07 1.8 -0.55 0.231 -0.424 
2.46 0 1.12 1.76 0.9 -0.706 -2.27 1.12 1.76 -0.706 0.231 -0.48 
